               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.034148,             0.25067,                   0,             0.92771,             0.91282,             0.93874,             0.54094,            0.036257,             0.21437,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.033306,             0.24784,                   0,             0.92801,             0.91029,             0.93781,             0.53457,            0.036393,             0.21516,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.034368,             0.25788,                   0,             0.92557,             0.91229,             0.93594,             0.54064,            0.036103,             0.21596,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.032727,             0.24679,                   0,             0.92685,             0.91035,             0.93751,             0.54228,            0.036027,              0.2168,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.034431,             0.24989,                   0,             0.92881,             0.90928,             0.93677,             0.54526,               0.036,             0.21599,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.034617,             0.26165,                   0,             0.93273,             0.90475,             0.93671,             0.54433,             0.03602,             0.21667,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.033383,             0.25212,                   0,             0.93076,             0.90961,             0.93931,             0.54836,            0.035834,             0.21584,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.032939,             0.24593,                   0,             0.93299,             0.90573,             0.93734,             0.54383,            0.036113,             0.21578,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.033921,             0.24818,                   0,              0.9324,             0.90879,             0.93984,             0.54648,            0.035854,              0.2159,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.033731,             0.26078,                   0,             0.92906,             0.91098,             0.93782,             0.54282,            0.036072,             0.21581,                   0,            0.000298,            0.000298,            0.000298
